Total_Evaporation,Total_Rainfall,Max_Daily_Rainfall,n_raining_days,Average_temperature,Max_Average_Temperature,Min_Average_Temperature,Max_Absolute_Temperature,Min_Absolute_Temperature,Average_Humidity,Min_Humidity,n_hours_sunshine,Dengue_fever_rates,year_month
0.4963899,0.7333620,0.6815789,0.6122449,0.8260870,0.7058824,0.7966102,0.6428571,0.9067797,0.5625000,0.4285714,0.1722488,0.0530790,1997-02-28
0.8131769,0.5501288,0.3703947,0.5306122,0.6304348,0.8039216,0.5423729,0.9821429,0.5932203,0.2500000,0.5142857,0.9952153,0.0158627,1997-03-31
0.5622744,0.8193431,0.8105263,0.7551020,0.8478261,0.7058824,0.8305085,0.4821429,0.7542373,0.5625000,0.6857143,0.2861244,0.0213536,1997-04-30
0.4575812,0.7243452,0.3990132,0.7959184,0.5869565,0.4509804,0.6610169,0.5535714,0.6864407,0.5625000,0.7714286,0.4990431,0.0146425,1997-05-31
0.6155235,0.4322671,0.4325658,0.4285714,0.5000000,0.4509804,0.5762712,0.3571429,0.6694915,0.6875000,0.6000000,0.5775120,0.0591801,1997-06-30
0.5234657,0.8094676,0.5753289,0.8163265,0.3043478,0.2156863,0.4067797,0.3928571,0.5338983,0.5000000,0.6285714,0.0827751,0.2141465,1997-07-31
0.7391697,0.5456204,0.5184211,0.4693878,0.8043478,0.4901961,0.8135593,0.3035714,0.7203390,0.7500000,0.8000000,0.8023923,0.2281789,1997-08-31
0.5640794,0.7717905,0.7187500,0.6122449,0.6956522,0.5098039,0.6610169,0.3928571,0.5847458,0.5625000,0.5142857,0.4899522,0.2501426,1997-09-30
0.5983755,1.0000000,0.5815789,0.7755102,0.4565217,0.4901961,0.4067797,0.4285714,0.5677966,0.5625000,0.6571429,0.7545455,0.2013343,1997-10-31
0.7445848,0.1624088,0.3648026,0.3061224,0.5652174,0.4901961,0.6440678,0.6250000,0.6949153,0.5000000,0.3142857,0.5875598,0.1134793,1997-11-30
0.7671480,0.5196436,0.3595395,0.3877551,0.4347826,0.6274510,0.3559322,0.4821429,0.5593220,0.4375000,0.3142857,0.7990431,0.1482553,1997-12-31
0.4963899,0.6341778,0.5026316,0.5714286,0.5000000,0.6470588,0.4915254,0.5714286,0.6186441,0.1250000,0.5714286,0.5617225,0.0000000,1998-01-31
0.5000000,0.6419064,0.5263158,0.5918367,0.5434783,0.5294118,0.5593220,0.4821429,0.6271186,0.5000000,0.6285714,0.2497608,0.0108555,1998-02-28
1.0000000,0.6419064,0.5263158,0.5918367,0.8478261,0.9215686,0.6779661,0.9464286,0.6355932,0.5000000,0.0000000,0.7220096,0.0066339,1998-03-31
0.4675090,0.6799055,0.5930921,0.8163265,0.7826087,0.5686275,0.8135593,0.4642857,0.7288136,0.8125000,0.7142857,0.4889952,0.0102524,1998-04-30
0.1976534,0.7205882,0.5509868,0.6122449,0.6521739,0.5686275,0.7457627,0.6250000,0.6779661,0.5625000,0.6857143,0.5004785,0.0651330,1998-05-31
0.7545126,0.6513525,0.5375000,0.6530612,0.3260870,0.2352941,0.4237288,0.2142857,0.5762712,0.4375000,0.9714286,0.3244019,0.1561985,1998-06-30
